postscript	lang	text	fallback	url	group	full_name
ShadowsIntoLight	ar	شادو انتو	Shadows Into Light	https://storage.appchief.dev/fonts/June2026/h3k2B2rT0ljvEU66UnJd.ttf	العربية	Shadows Into Light
ThickNaskhSwash	ar	نسخ سواش	Thick Naskh Swash	https://storage.appchief.dev/fonts/April2026/UkgnBOAm8e0NObddTsc7.ttf	العربية	Thick Naskh Swash
MonacoKufi	ar	موناكو كوفي	Monaco-Kufi	https://storage.appchief.dev/fonts/April2026/KlmCYsOWmcqjSoXXJFHd.ttf	العربية	Monaco-Kufi
QahwaArabic-Black	ar	قهوة	Qahwa Arabic	https://storage.appchief.dev/fonts/April2026/YqzJZBPt3uH3npNFnlfk.ttf	العربية	Qahwa Arabic Black
QahwaArabicSalt	ar	قهوة	Qahwa Arabic-Salt	https://storage.appchief.dev/fonts/April2026/CNURopmGisvz4rxdHUQv.ttf	العربية	Qahwa Arabic-Salt
BadeenDisplay-Regular	ar	بادين	Badeen Display	https://storage.appchief.dev/fonts/October2025/DTrnzqwHmWMa2EdCRFSG.ttf	العربية	Badeen Display Regular
GraphicSchool-Regular	ar	جرافيك سكول	Graphic School	https://storage.appchief.dev/fonts/November2025/vknP5XCs5HVnM1EuYHdv.ttf	العربية	Graphic School Regular
MTLombardiaLuxury	ar	لومبارديا	MT Lombardia Luxury	https://storage.appchief.dev/fonts/November2025/CAg0LroWCdZKlmGEqNe1.ttf	العربية	MT Lombardia Luxury
MT-STRAWBERRYSolid	ar	فراولة	MT-STRAWBERRY Solid	https://storage.appchief.dev/fonts/December2025/LgqjMGQ6M9RxgbRNTIBK.ttf	العربية	MT-STRAWBERRY Solid
MTNitroDisplay	ar	نيترو	MT Nitro Display	https://storage.appchief.dev/fonts/December2025/fvAVAiRgPJY0ivZbBKg6.ttf	العربية	MT Nitro Display
VOXOR	ar	فوكسو	VOXO R	https://storage.appchief.dev/fonts/January2026/sUPBU3s1dFjPxMvXk5o8.ttf	العربية	VOXO R
VOXOB	ar	فوكسو	VOXO B	https://storage.appchief.dev/fonts/January2026/jEW8TxBxD3HTY7G7B3Cv.ttf	العربية	VOXO B
HAYA-SemiBold	ar	هيا	HAYA	https://storage.appchief.dev/fonts/January2026/B39g7WxosNgEKgaRy2el.ttf	العربية	HAYA SemiBold
HAYA-ExtraBold	ar	هيا	HAYA	https://storage.appchief.dev/fonts/January2026/UtxsImnCvFZuqfLPu8IK.ttf	العربية	HAYA ExtraBold
HAYA-Bold	ar	هيا	HAYA	https://storage.appchief.dev/fonts/January2026/ijTB5eCQgsCWsQs28z6S.ttf	العربية	HAYA Bold
HAYA-Black	ar	هيا	HAYA	https://storage.appchief.dev/fonts/January2026/6Fn6XJvXHOGYcUVKLNKv.ttf	العربية	HAYA Black
HAYA-Regular	ar	هيا	HAYA	https://storage.appchief.dev/fonts/January2026/GPHFaNKKJicoFoJcGtdv.ttf	العربية	HAYA Regular
Jarood	ar	جارود	Jarood	https://storage.appchief.dev/fonts/April2026/WTjf0Ktrfwbfio9TgLXO.ttf	العربية	Jarood
TROX-R	ar	تروكس	TROX R	https://storage.appchief.dev/fonts/October2025/Ol4DhQWAeKoC4D8fyzze.ttf	العربية	TROX R
Rubik-Light	ar	روبيك	Rubik	https://storage.appchief.dev/fonts/April2025/HIO7iP4sn6au0D2fzXrd.ttf	العربية	Rubik Light
Saudi-Bold	ar	سعودي	Saudi	https://storage.appchief.dev/fonts/April2025/YwNBMG0mNZGHbg8iUXqD.ttf	العربية	Saudi Bold
Saudi-Medium	ar	سعودي	Saudi	https://storage.appchief.dev/fonts/April2025/HMDfd22DWqLNZ6aCJjZl.ttf	العربية	Saudi Medium
Saudi-Regular	ar	سعودي	Saudi	https://storage.appchief.dev/fonts/April2025/9vEGOXv6zkusMMNvai1a.ttf	العربية	Saudi
TheYearofHandicrafts-Regular	ar	عام الحرف	The Year of Handicrafts	https://storage.appchief.dev/fonts/January2025/8EhuBLx2x5YKfPomN7Nk.ttf	العربية	The Year of Handicrafts Regular
TheYearofHandicrafts-SemiBold	ar	عام الحرف	The Year of Handicrafts SemBd	https://storage.appchief.dev/fonts/January2025/aeLHewfAhPlWHKL1MQTu.ttf	العربية	The Year of Handicrafts SemBd
TheYearofHandicrafts-Black	ar	عام الحرف	The Year of Handicrafts	https://storage.appchief.dev/fonts/January2025/gA2j4gSiiLFsWNqiLVVv.ttf	العربية	The Year of Handicrafts Black
MedadPronz-Regular	ar	مداد	Medad Pronz	https://storage.appchief.dev/fonts/January2025/jlrwJkRGD4GpvPjW29wA.ttf	العربية	Medad Pronz Regular
Wingx	ar	وينجكس	Wingx	https://storage.appchief.dev/fonts/December2024/MSbsnuN6YgTm0aufAdOh.ttf	العربية	Wingx
Tajawal-Regular	ar	تجوال	Tajawal	https://storage.appchief.dev/fonts/December2024/ZR2A5OENrR2kmWrZjjPj.ttf	العربية	Tajawal
Tajawal-Bold	ar	تجوال	Tajawal	https://storage.appchief.dev/fonts/December2024/HH99is8Uk4rDVfd0vdaE.ttf	العربية	Tajawal-Bold
LANTX	ar	لانتكس	LANTX	https://storage.appchief.dev/fonts/October2024/iiqH773sQTtKfrYEk4Xo.ttf	العربية	LANTX
